site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Straits Times,https://www.straitstimes.com/singapore/pay-cleaners-and-cleaning-companies-fairly-amid-disruption-from-covid-19-pandemic-mom,Pay cleaners and cleaning companies fairly amid disruption from Covid-19 pandemic: MOM,17/4/20,8679,7405,858,416
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-abuse-safe-distancing-officers-headbutt-12653634,"Police record a dozen reports of abuse against COVID-19 safe distancing officers, including man who headbutted officer",17/4/20,8314,5463,1575,1276
Today Online,https://www.todayonline.com/singapore/covid-19-mcdonalds-scraps-takeaways-april-18-delivery-drive-thru-options-remain,"Covid-19: McDonald’s scraps takeaways from April 18, but delivery, ‘drive-thru’ options remain",17/4/20,5630,3561,1334,735
Channel News Asia,https://www.channelnewsasia.com/news/singapore/top-india-personalities-send-covid-19-messages-to-singapore-s-12649718,Top India personalities send COVID-19 messages to Singapore's foreign workers,17/4/20,5222,4154,669,399
Today Online,https://www.todayonline.com/singapore/moh-makes-police-report-after-news-728-covid-19-cases-leaked-april-16,MOH makes police report after news of 728 Covid-19 cases on April 16 was leaked before announcement,17/4/20,4776,2730,1007,1039
Today Online,https://www.todayonline.com/singapore/covid-19-4-employees-netlink-contractor-infected-including-2-who-visited-34-homes-fibre,"Covid-19: 4 employees of Netlink contractor infected, including 2 who visited 34 homes for fibre broadband installation",17/4/20,4771,2732,1321,718
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-three-more-dormitories-gazetted-as-isolation-areas-12650088,COVID-19: Three more foreign worker dormitories gazetted as isolation areas,17/4/20,4518,3071,864,583
Must Share News,https://mustsharenews.com/singapore-covid-19-17-apr,"S’pore Now Has 5,050 Covid-19 Cases After 623 Confirmed On 17 Apr, MOH To Reveal More Tonight",17/4/20,4476,2406,1188,882
Today Online,https://www.todayonline.com/singapore/covid-19-halls-singapore-sports-hub-be-converted-temporary-housing-foreign-workers-without,Covid-19: Halls in Singapore Sports Hub to be converted into temporary housing for foreign workers without symptoms,17/4/20,4429,2899,1063,467
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-false-rumour-pm-lee-announcement-lockdown-12652446,"COVID-19: Rumours that PM Lee will announce tighter travel restrictions on Friday are untrue, says Government",17/4/20,3971,2171,1224,576
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-pay-cleaners-fairly-government-trade-organisations-12653102,"Government, trade organisations call on firms to pay cleaners fairly amid COVID-19 outbreak",17/4/20,3858,3119,466,273
Straits Times,https://www.straitstimes.com/singapore/5-weak-links-in-singapores-covid-19-battle,5 weak links in Singapore's Covid-19 battle,17/4/20,3649,1993,890,766
Today Online,https://www.todayonline.com/singapore/95-year-old-sporean-man-becomes-11th-covid-19-death-4-new-clusters-foreign-worker,95-year-old citizen becomes 11th Covid-19 fatality in S’pore; 4 new clusters at foreign worker dorms,17/4/20,3469,2283,793,398
Today Online,https://www.todayonline.com/singapore/covid-19-police-investigating-12-reports-abuse-against-enforcement-officers-safe,"Covid-19: Police investigating 12 reports of abuse against enforcement officers, safe distancing ambassadors",17/4/20,3298,2165,492,642
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-singapore-apr-16-new-cases-moh-12648062,"Singapore reports record 728 new COVID-19 cases, mostly from foreign worker dormitories",16/4/20,61292,39948,8612,12732
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-bangladesh-worker-case-42-recover-12649648,"COVID-19: Bangladeshi worker, whose wife gave birth while he was in critical state, moves out of ICU",16/4/20,43355,37170,3731,2454
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-singapore-confirms-record-728-new-cases-majority-linked-total-at-4427-151135988.html,"COVID-19: S&#39;pore confirms record 728 more cases, five new clusters; total at 4,427",16/4/20,30377,18093,3919,8365
Today Online,https://www.todayonline.com/singapore/covid-19-728-more-cases-singapore-which-654-are-dorms,"Covid-19: Record high of 728 new cases in Singapore, including 654 from foreign worker dorms",16/4/20,14793,9509,2016,3269
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-singapore-may-use-2-cruise-ships-to-house-healthy-foreign-workers-043254747.html,COVID-19: Singapore may use 2 cruise ships to house healthy foreign workers,16/4/20,7983,4732,1349,1902
The Online Citizen,https://www.theonlinecitizen.com/2020/04/16/foodcourt-at-147-potong-pasir-closed-after-a-confirmed-case-of-covid-19-infection,Foodcourt at 147 Potong Pasir closed after a confirmed case of COVID-19 infection,16/4/20,5966,2954,2050,962
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-car-park-grace-period-extended-from-10-to-20-minutes-to-facilitate-deliveries-022422241.html,COVID-19: Car park grace period extended from 10 to 20 minutes to facilitate deliveries,16/4/20,5861,3875,1431,555
Today Online,https://www.todayonline.com/singapore/dbs-donates-s105-million-provide-45-million-meals-necessities-those-affected-covid-19,"DBS donates S$10.5 million to provide 4.5 million meals, necessities for those affected by Covid-19 in S’pore, region",16/4/20,4757,3700,833,225
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-foreign-worker-dormitory-mandai-lodge-coronavirus-12646274,COVID-19: Foreign worker dormitory Mandai Lodge 1 declared an isolation area,16/4/20,4460,2913,838,709
Channel News Asia,https://www.channelnewsasia.com/news/singapore/imda-starhub-circuit-breaker-internet-disruption-covid-19-12646554,IMDA investigating StarHub Internet service disruption during COVID-19 circuit breaker period,16/4/20,3140,1907,643,592
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-record-447-cluster-local-unlinked-apr-15-12643698,"Record 447 new COVID-19 cases in Singapore, 68% linked to known clusters",15/4/20,58681,37393,10900,10389
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-singapore-confirms-record-447-new-cases-total-at-3699-144012793.html,"COVID-19: Singapore confirms record 447 more cases and 4 new clusters, total at 3,699",15/4/20,21887,12746,4207,4934
Straits Times,https://www.straitstimes.com/business/economy/spore-to-receive-shipment-of-essential-items-to-battle-covid-19-from-nz-next-week,S'pore to receive shipment of essential items to battle Covid-19 from NZ next week as part of new trade declaration,15/4/20,21503,17222,3073,1208
Today Online,https://www.todayonline.com/singapore/covid-19-highest-daily-tally-447-new-cases-singapore-including-404-infections-foreign,"Covid-19: Highest daily tally of 447 new cases in Singapore, including 404 infections in foreign worker dorms",15/4/20,12026,7410,2139,2477
Today Online,https://www.todayonline.com/singapore/covid-19-food-delivery-riders-face-1-year-suspension-fail-wear-mask-commit-other-breaches,"Covid-19: Food delivery riders face 1 year suspension if they fail to wear a mask, commit other breaches ",15/4/20,4751,2963,1216,572
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-fear-toll-mental-health-hotline-anxiety-singapore-12631710,COVID-19: Worries about pandemic see more calls to mental health helplines,15/4/20,4717,3130,1139,448
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-circuit-breaker-measures-on-off-vaccine-12643074,Circuit breakers may need to be switched on and off until COVID-19 vaccine is found: Experts,15/4/20,4055,2276,948,831
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-coronavirus-singapore-new-cases-clusters-moh-12636840,Singapore reports record 386 new COVID-19 cases and another death,14/4/20,109209,72321,17024,19864
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-singapore-cases-exceed-3000-334-new-critical-situation-12639766,"Singapore's COVID-19 cases exceed 3,000 with 334 new infections; situation remains 'critical'",14/4/20,48024,28863,11606,7555
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-wearing-masks-compulsory-lawrence-wong-12640828,"COVID-19: Compulsory to wear masks when leaving the house, says Lawrence Wong",14/4/20,46316,25585,11494,9237
Straits Times,https://www.straitstimes.com/singapore/health/70-year-old-singaporean-man-from-safra-jurong-cluster-dies-from-covid-19-the-10th,"70-year-old Singaporean man from Safra Jurong cluster dies from Covid-19, the 10th death in S'pore",14/4/20,12795,8689,3325,781
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-police-do-not-conduct-checks-on-homes-safe-distancing-12640512,Police do not conduct checks on homes to enforce COVID-19 safe distancing rules: SPF,14/4/20,12739,5776,5684,1279
Channel News Asia,https://www.channelnewsasia.com/news/singapore/mrt-train-operating-hours-bus-services-suspended-covid-19-lta-12640448,"MRT trains to run less frequently, some bus services will be suspended amid COVID-19 circuit breaker period",14/4/20,9697,5061,3299,1337
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-334-new-cases-in-singapore-189-linked-to-clusters-total-3252-moh-official-111904864.html,"COVID-19: 334 new cases in Singapore, 189 linked to clusters; total 3,252 - MOH official",14/4/20,8210,5402,1826,982
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-singapore-expo-community-isolation-facility-12636822,Life at the Singapore Expo: A COVID-19 patient shares his experience in a community isolation facility,14/4/20,8167,5415,2272,480
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-foreign-worker-dormitories-medical-teams-doctors-nurses-12640818,"COVID-19: All foreign worker dormitories to have medical teams of doctors and nurses from hospitals, polyclinics",14/4/20,5727,3931,1136,660
Straits Times,https://www.straitstimes.com/singapore/health/about-5000-foreign-workers-to-be-tested-for-covid-19-in-the-next-few-days-even,"About 5,000 foreign workers to be tested for Covid-19 in the next few days, even those who are well but are contacts of confirmed cases",14/4/20,5065,3378,1229,458
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-asean-special-summit-coronavirus-lee-hsien-loong-12639434,"COVID-19: ASEAN should have guidelines on imposing travel or trade restrictions, says PM Lee",14/4/20,3835,2833,679,324
Straits Times,https://www.straitstimes.com/singapore/faqs-on-spores-covid-19-circuit-breaker-rules-can-you-visit-a-loved-one-living-in-another,FAQs on S'pore's Covid-19 circuit breaker rules: Can you visit a loved one living in another house?,14/4/20,3741,1811,1560,370
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-moh-cases-clusters-mbs-mcdonalds-12635076,"233 new COVID-19 cases in Singapore, 7 new clusters including MBS restaurant and McDonald's",13/4/20,39726,24542,9040,6144
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-singapore-reports-record-386-new-cases-total-at-2918-153518317.html,"COVID-19: S&#39;pore confirms record 386 more cases, 1 additional death and 4 new clusters; total at 2,918",13/4/20,22648,13289,4294,5065
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-businesses-fined-jollibee-putien-12635742,"3 establishments including Putien, Jollibee fined for breaching COVID-19 safe distancing measures",13/4/20,20189,12010,5542,2637
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-elderly-woman-dies-alone-in-malaysian-house-12637624,"COVID-19: Elderly woman dies alone in Malaysian house, family in Singapore struggles with funeral arrangements",13/4/20,19027,15799,2055,1173
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-work-pass-holders-barred-mom-dormitories-12637378,24 work pass holders barred from working in Singapore for flouting COVID-19 circuit breaker measures,13/4/20,12067,8007,2818,1242
Today Online,https://www.todayonline.com/singapore/covid-19-record-high-386-more-cases-singapore-s11-dorm-cluster-grows-almost-590-cases,"Covid-19: Record high of 386 more cases in Singapore, as S11 dorm cluster grows to almost 590 cases",13/4/20,9653,6427,1688,1538
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-police-road-blocks-false-claims-12637818,"No road blocks conducted to enforce COVID-19 safe distancing measures, police say",13/4/20,8983,4231,3808,944
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-fake-temporary-relief-fund-claim-police-msf-jail-12636796,"COVID-19: Government will check for fraudulent temporary relief fund claims, jail sentence possible, says Shanmugam",13/4/20,7995,4439,2333,1223
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-safe-distancing-fines-circuit-breaker-12638068,"People playing tennis, eating at food centre among those caught breaking COVID-19 safe distancing rules",13/4/20,7733,4745,1216,1772
Straits Times,https://www.straitstimes.com/singapore/woman-survived-h1n1-a-decade-ago-now-she-wins-fight-against-covid-19,"Woman survived H1N1 a decade ago, now she wins fight against Covid-19",13/4/20,6859,5497,998,364
Channel News Asia,https://www.channelnewsasia.com/news/singapore/recovered-covid19-patients-recruited-donate-blood-plasma-therapy-12636468,11 recovered COVID-19 patients in Singapore to donate blood for plasma therapy treatment,13/4/20,6471,4975,1151,345
Straits Times,https://www.straitstimes.com/asia/se-asia/johor-still-hopes-singapore-will-test-malaysian-workers-for-covid-19-before-they-return,Johor still hopes Singapore will test Malaysian workers for Covid-19 before they return,13/4/20,5107,2744,755,1608
Today Online,https://www.todayonline.com/singapore/covid-19-govt-will-come-down-hard-those-who-abuse-temporary-relief-fund-says-shanmugam,"Covid-19: Govt will come down hard on those who abuse the Temporary Relief Fund, says Shanmugam",13/4/20,3887,2661,865,362
Straits Times,https://www.straitstimes.com/singapore/authorities-will-come-down-hard-on-those-who-abuse-covid-19-relief-fund-shanmugam,Authorities will come down hard on those who abuse Covid-19 relief fund: Shanmugam,13/4/20,3478,2410,748,320
Today Online,https://www.todayonline.com/singapore/pap-stops-all-ground-engagements-until-may-4-due-covid-19,PAP stops all ground engagements until May 4 due to Covid-19,13/4/20,3203,1906,473,824
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-scam-chinese-police-contraband-medicine-12636366,Police warn of scammers claiming Chinese officials seized COVID-19 'contraband medicine',13/4/20,3157,1897,1072,188
The Online Citizen,https://www.theonlinecitizen.com/2020/04/13/not-recognising-that-migrant-worker-dormitories-are-potential-covid-19-clusters-is-an-oversight-not-hindsight,Not recognising that migrant worker dormitories are potential COVID-19 clusters is an oversight. Not hindsight.,13/4/20,3096,1698,438,960
Straits Times,https://www.straitstimes.com/singapore/5-mcdonalds-employees-down-with-covid-19-all-other-staff-at-affected-branches-on-leave-of,"5 McDonald's employees down with Covid-19, all other staff at affected branches on leave of absence",12/4/20,40038,24231,9040,6767
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-work-pass-holder-revoked-permanent-ban-12635504,MOM revokes work pass after holder breached COVID-19 circuit breaker measures,12/4/20,30235,20442,6574,3219
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-spore-confirms-233-new-cases-marks-3rd-consecutive-day-with-no-import-cases-160024110.html,COVID-19: S&#39;pore confirms 233 new cases and 7 new clusters; marks 3rd consecutive day with no imported cases,12/4/20,24325,13359,7276,3691
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-mcdonalds-employees-diagnosed-outlets-close-12635516,"Five McDonald’s Singapore employees diagnosed with COVID-19, 4 outlets closed until further notice",12/4/20,19503,13280,4170,2053
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-singaporean-survivor-treatment-ncid-recovery-12630416,"'The hardest thing I've been through': Hallucinations, fever, pneumonia - but finally victory for this COVID-19 patient",12/4/20,13535,9961,2902,672
Today Online,https://www.todayonline.com/singapore/5-mcdonalds-singapore-employees-diagnosed-covid-19-4-outlets-closed-till-further-notice,"5 McDonald's Singapore employees diagnosed with Covid-19, 4 outlets closed till further notice",12/4/20,9417,5935,2157,1326
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-solidarity-budget-600-cash-payout-12635268,COVID-19: 9 in 10 Singaporeans will receive S$600 payout on Apr 14,12/4/20,8110,4533,2244,1333
Today Online,https://www.todayonline.com/singapore/man-under-investigation-possible-abuse-covid-19-temporary-relief-fund,Man under investigation for possible abuse of Covid-19 Temporary Relief Fund,12/4/20,6442,3453,1538,1452
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-fined-hawker-centre-safe-distancing-coronavirus-nea-12634224,2 people fined for not complying with COVID-19 safe distancing rules: NEA,12/4/20,6318,4000,1204,1114
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-coronavirus-acacia-cochrane-dormitory-isolation-moh-12634902,COVID-19: 2 more dormitories declared as isolation areas,12/4/20,5431,3761,1209,461
Channel News Asia,https://www.channelnewsasia.com/news/singapore/police-investigating-claims-fraud-involving-covid-19-relief-12635554,Police investigating after man posts online about abusing COVID-19 Temporary Relief Fund,12/4/20,4861,3026,958,877
Today Online,https://www.todayonline.com/singapore/covid-19-233-more-cases-singapore-7-new-clusters-emerge,"Covid-19: 233 more cases in Singapore, 7 new clusters emerge ",12/4/20,4140,2803,810,527
Today Online,https://www.todayonline.com/singapore/covid-19-work-pass-holder-banned-working-singapore-dozens-fined-breaching-circuit-breaker,"Covid-19: Work pass holder banned from working in Singapore, dozens fined for breaching circuit breaker measures",12/4/20,3387,2198,808,381
Channel News Asia,https://www.channelnewsasia.com/news/commentary/covid-19-coronavirus-farmers-food-supplies-malaysia-12625030,Commentary: Farmers hold key to feeding Asia amid COVID-19 restrictions,12/4/20,3126,2185,564,377
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-clusters-coronavirus-moh-12633388,"Singapore reports 8th death linked to COVID-19, 191 new cases",11/4/20,31296,20728,7346,3222
Channel News Asia,https://www.channelnewsasia.com/news/singapore/all-beaches-singapore-closed-lawrence-wong-covid-19-12633828,All beaches in Singapore closed as part of tougher COVID-19 measures: Lawrence Wong,11/4/20,21536,13005,4519,4012
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-singapore-confirms-191-new-cases-35-discharged-140248193.html,"COVID-19: Singapore confirms 191 new cases, 1 more death",11/4/20,8577,5492,2113,972
Today Online,https://www.todayonline.com/singapore/covid-19-first-time-offenders-be-fined-breaching-circuit-breaker-rules-instead-warning,"Covid-19: First-time offenders to be fined S$300 for breaching ‘circuit breaker’ rules instead of given a warning, Masagos says",11/4/20,7417,4654,1577,1186
Yahoo Singapore,https://sg.news.yahoo.com/covid-19-popular-beaches-closed-to-prevent-gathering-in-groups-110055187.html,COVID-19: Popular beaches closed to prevent gathering in groups,11/4/20,7183,4549,1445,1189
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-ica-building-kallang-cluster-close-disinfection-moh-12632032,ICA Building to close for disinfection on Saturday after linked to COVID-19 cluster,11/4/20,5982,3687,1650,645
Today Online,https://www.todayonline.com/singapore/covid-19-all-shoppers-supermarkets-convenience-stores-pharmacies-and-malls-must-wear-masks,"Covid-19: All shoppers at supermarkets, convenience stores, pharmacies and malls must wear masks from April 12 or be refused entry",11/4/20,4588,2888,926,774
Straits Times,https://www.straitstimes.com/singapore/health/nus-covid-19-reports-shared-across-the-world,NUS' Covid-19 reports shared across the world,11/4/20,4218,3477,569,173
Straits Times,https://www.straitstimes.com/singapore/stay-at-home-singapore-sing-along-give-with-your-heart-to-those-hit-hard-by-covid-19,"Stay at home, Singapore: Sing along, give with your heart, to those hit hard by Covid-19",11/4/20,3695,2352,1057,286
Today Online,https://www.todayonline.com/singapore/covid-19-191-more-cases-singapore-three-new-clusters-foreign-worker-dormitories,"Covid-19: 191 more cases in Singapore, three new clusters at foreign worker dormitories",11/4/20,3606,2362,690,554
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-swab-tests-polyclinics-gp-moh-12633978,"COVID-19: More than 4,500 swab tests performed at polyclinics, GP clinics to date, says MOH",11/4/20,3525,2558,732,235
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-clusters-ica-nuh-dormitory-death-coronavirus-12630852,Singapore reports 198 new COVID-19 cases; second death from Lee Ah Mooi Old Age Home cluster,10/4/20,19109,13167,3947,1995
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-pm-lee-address-elderly-stay-at-home-workers-dormitories-12630842,In full: PM Lee appeals to older Singaporeans to stay at home during COVID-19 'circuit breaker' period,10/4/20,14910,10102,2939,1869
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-isolation-facility-at-singapore-expo-12626324,COVID-19: Community isolation facility at Singapore Expo operational from Apr 10,10/4/20,10738,7657,2021,1060
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-medical-waste-volume-up-worry-risk-workers-12621996,COVID-19: Medical waste workers put in extra hours to handle extra volume,10/4/20,10149,8628,866,655
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-coronavirus-tampines-dormitory-isolation-area-12629490,COVID-19: Tampines Dormitory declared isolation area under Infectious Diseases Act,10/4/20,8100,5040,1938,1123
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-pm-lee-singapore-foreign-workers-welfare-dormitory-12631250,Singapore is paying 'close attention' to welfare of foreign workers amid COVID-19 outbreak: PM Lee,10/4/20,7751,6294,893,564
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-migrant-foreign-workers-dormitory-food-coronavirus-12627032,NGOs launch initiatives to help migrant workers amid COVID-19 outbreak,10/4/20,7281,6211,697,373
Straits Times,https://www.straitstimes.com/singapore/coronavirus-first-batch-of-covid-19-patients-transferred-to-singapore-expo,Coronavirus: First batch of Covid-19 patients transferred to Singapore Expo,10/4/20,7262,4960,1786,516
Today Online,https://www.todayonline.com/singapore/covid-19-198-more-cases-singapore-new-cluster-ica-building,"Covid-19: 198 more cases in Singapore, new cluster at ICA Building",10/4/20,7094,4222,2026,846
Straits Times,https://www.straitstimes.com/singapore/record-287-new-covid-19-cases-in-spore-links-found-between-mustafa-centre-and-clusters-in,"Record 287 new Covid-19 cases in S'pore, links found between Mustafa Centre and clusters in foreign worker dormitories",9/4/20,121204,72663,24235,24306
Straits Times,https://www.straitstimes.com/singapore/this-family-has-four-siblings-fighting-covid-19-on-the-front-lines,This family has four siblings fighting Covid-19 on the front lines,9/4/20,45209,38566,4610,2033
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-singapore-new-cases-apr-9-mustafa-s11-dorm-highest-12624378,Singapore reports a record 287 new COVID-19 cases with more than half linked to dormitory cluster,9/4/20,31821,20354,4660,6807
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-stadiums-to-close-circuit-breaker-measures-may-be-tightened-if-people,"Coronavirus: Stadiums to close, circuit-breaker measures may be tightened if people continue to gather, says Covid-19 task force",9/4/20,19618,10133,5294,4191
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-parents-not-allowed-to-drop-children-with-grandparents-12625776,"COVID-19: Parents not allowed to drop children off daily at grandparents’ place, open-air stadiums to close",9/4/20,11805,5576,3220,3009
Channel News Asia,https://www.channelnewsasia.com/news/singapore/lta-safe-distancing-covid-19-public-transport-12623902,COVID-19: Additional safe distancing measures implemented on public transport,9/4/20,10689,6301,3147,1241
Straits Times,https://www.straitstimes.com/business/banking/citi-singapore-employees-to-receive-1200-cash-in-april-as-covid-19-aid,"Citi Singapore employees to receive $1,200 cash in April as Covid-19 aid",9/4/20,9158,6642,1443,1076
Today Online,https://www.todayonline.com/singapore/covid-19-children-should-not-be-shuttled-grandparents-home-daily-basis-during-circuit,"Covid-19: Children no longer allowed to be dropped off daily at grandparents’ home, as part of tighter ‘circuit breaker’ measures",9/4/20,7946,3491,2429,2026
Today Online,https://www.todayonline.com/singapore/sporeans-give-s345000-just-days-help-foreign-workers-after-covid-19-cases-spike,"S’poreans give S$345,000 to help foreign workers after Covid-19 cases spike in dormitories called ‘squalid’ by some",9/4/20,7350,5972,923,455
The Online Citizen,https://www.theonlinecitizen.com/2020/04/09/foreign-worker-dormitories-with-active-covid-19-clusters-linked-to-pa-grassroots-leaders,Foreign worker dormitories with active COVID-19 clusters linked to PA grassroots leaders,9/4/20,7075,4202,1460,1413
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-ntuc-fairprice-customers-wear-face-masks-12624460,COVID-19: NTUC FairPrice urges shoppers to wear face masks,9/4/20,6332,3894,1410,1028
Today Online,https://www.todayonline.com/singapore/covid-19-fairprice-urges-all-shoppers-wear-masks-stores,Covid-19: FairPrice urges all shoppers to wear masks in stores,9/4/20,6182,3944,1360,878
Today Online,https://www.todayonline.com/singapore/covid-19-record-287-new-cases-spore-219-infections-linked-dorms-foreign-workers-who-had-visited,"Covid-19: Record 287 new cases in S'pore, with over 200 infections linked to dorms with foreign workers who had visited Mustafa Centre ",9/4/20,5502,3488,1055,959
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-7-in-10-new-covid-19-cases-in-singapore-linked-to-foreign-worker,Coronavirus: 7 in 10 new Covid-19 cases in Singapore linked to foreign worker dormitories,9/4/20,5469,3593,1215,661
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-fines-prosecution-for-repeat-offenders-safe-distancing-12624402,"COVID-19: Fines, prosecution in court for repeat offenders of 'circuit breaker' measures",9/4/20,4967,3095,1130,742
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-foreign-worker-dormitory-sungei-tengah-12622724,COVID-19: Sungei Tengah Lodge declared an isolation area under Infectious Diseases Act,9/4/20,4856,3298,1048,510
Today Online,https://www.todayonline.com/singapore/stadiums-close-people-still-exercising-groups-lawrence-wong,"Covid-19: Stadiums to close as people still exercising in groups, says Lawrence Wong who warns of stricter overall measures if necessary ",9/4/20,4699,2654,799,1246
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-illegal-car-race-gathering-10-people-charged-12622582,COVID-19: Suspect behind illegal car race charged with organising event with more than 10 attendees,9/4/20,4471,2619,950,902
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-crowding-emotional-health-migrant-workers-s11-12625718,"COVID-19: Crowding, emotional health of migrant workers at dormitories concern employers",9/4/20,4242,2952,613,677
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-food-container-suppliers-face-potential-shortage-during-12621686,COVID-19: Food container suppliers face potential shortage during circuit breaker,9/4/20,4186,2265,1045,876
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-foreign-worker-dormitories-range-of-measures-12625624,COVID-19: Range of measures to deal with foreign worker dormitory clusters,9/4/20,3346,2186,801,359
Today Online,https://www.todayonline.com/singapore/1300-foreign-workers-be-temporarily-housed-two-saf-camps,"Covid-19: 1,300 foreign workers to be temporarily housed at two SAF camps",9/4/20,3237,2268,580,390
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-coronavirus-circuit-breaker-stern-warnings-shops-close-12626200,"COVID-19 circuit breaker: Authorities shut shops, issue more than 150 stern warnings",9/4/20,3157,1810,877,470
Straits Times,https://www.straitstimes.com/singapore/health/record-142-new-covid-19-cases-in-spore-indian-national-later-confirmed-to-have,Record 142 new coronavirus cases in S'pore; Indian national later confirmed to have Covid-19 died while awaiting test result,8/4/20,52240,32891,11700,7649
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singapore-new-covid-19-cases-apr-7-moh-existing-clusters-12617084,"Singapore reports 106 new cases of COVID-19, with 52 linked to existing clusters",8/4/20,30633,19101,8327,3205
Straits Times,https://www.straitstimes.com/asia/se-asia/struck-down-by-covid-19-doctor-returns-to-frontline-to-rally-troops,"Struck down by Covid-19, Philippines doctor returns to frontline to rally troops",8/4/20,27902,22912,1947,3043
Straits Times,https://www.straitstimes.com/singapore/health/urgent-bid-to-free-up-capacity-at-public-hospitals-as-cases-surge,Urgent bid to free up capacity at public hospitals in Singapore as Covid-19 cases surge,8/4/20,12948,9031,2867,1050
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-man-arrested-void-deck-eating-police-refused-leave-12620530,"COVID-19: Man, 71, arrested after he insisted on eating at void deck, refused to leave",8/4/20,11311,6518,2262,2531
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid19-businesses-cease-operations-circuit-breaker-measures-12622424,Ten businesses told to cease operations after remaining open during COVID-19 'circuit-breaker' period,8/4/20,8243,4903,1973,1367
